Entry	Gene names	Subcellular location [CC]
Q96NB2	SFXN2	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:30442778}; Multi-pass membrane protein {ECO:0000255}.
P18405	SRD5A1	SUBCELLULAR LOCATION: Microsome membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9NSE4	IARS2	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250}.
O75995	SASH3 CXorf9 SLY	
Q496J9	SV2C KIAA1054	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:Q9Z2I6}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9Z2I6}. Note=Enriched in small synaptic vesicles and adrenal microsomes, not present in chromaffin granules. Associated with both insulin granules and synaptic-like microvesicles in insulin-secreting cells of the pancreas. {ECO:0000250|UniProtKB:Q9Z2I6}.
Q96JF0	ST6GAL2 KIAA1877 SIAT2	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q9NSC7	ST6GALNAC1 SIAT7A UNQ543/PRO848	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
P0DPE8	SMIM34B	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P31949	S100A11 MLN70 S100C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18618420}. Nucleus {ECO:0000269|PubMed:18618420}.
Q9BWD1	ACAT2 ACTL	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:7911016}.
Q9BZM4	ULBP3 N2DL3 RAET1N	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9BZM6}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:Q9BZM6}.
Q6P4I2	WDR73 HSPC264	SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:25466283}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:25466283}. Cleavage furrow {ECO:0000269|PubMed:25466283}. Note=During interphase, located in the cytosol. During mitosis, accumulates at the spindle poles and microtubule asters and later in the cleavage furrow. {ECO:0000269|PubMed:25466283}.
Q6ZN44	UNC5A KIAA1976 UNC5H1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O08721}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:O08721}. Membrane raft {ECO:0000250|UniProtKB:O08721}. Cell projection, neuron projection {ECO:0000250|UniProtKB:O08721}. Note=The interaction with PRKCABP regulates its surface expression and leads to its removal from the surface of neurons and growth cones. {ECO:0000250|UniProtKB:O08721}.
Q8IW36	ZNF695	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q6IV72	ZNF425	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21266108}. Cytoplasm {ECO:0000269|PubMed:21266108}. Note=Predominantly expressed in the nucleus.
Q8WTR7	ZNF473 KIAA1141 ZFP100	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16714279}. Note=Stable component of Cajal bodies (CBs). Colocalizes with SMN, coilin and U7 snRNA.
Q9H8N7	ZNF395 HDBP2 PBF	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=May shuttle between nucleus and cytoplasm.
Q5VIY5	ZNF468	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q53GI3	ZNF394 ZKSCAN14	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
Q9BQY6	WFDC6 C20orf171 WAP6	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q86U90	YRDC DRIP3 IRIP	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}. Membrane; Peripheral membrane protein. Note=Predominantly localized in the plasma membrane. {ECO:0000250}.
Q6XR72	SLC30A10 ZNT10 ZNT8	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22706290, ECO:0000269|PubMed:25319704, ECO:0000269|PubMed:26728129}; Multi-pass membrane protein {ECO:0000305}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:22706290}. Recycling endosome {ECO:0000269|PubMed:22427991, ECO:0000269|PubMed:26728129}. Early endosome {ECO:0000269|PubMed:22427991}. Note=Relocalized from the trans-Golgi network to the plasma membrane upon elevated extracellular Zn concentrations (PubMed:22706290). {ECO:0000269|PubMed:22706290}.
P17038	ZNF43 KOX27 ZNF39 ZNF39L1	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q969W8	ZNF566	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P51508	ZNF81	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q16587	ZNF74 ZNF520	SUBCELLULAR LOCATION: Nucleus.
B1AH88	TSPO PBRS	
P01282	VIP	SUBCELLULAR LOCATION: Secreted.
Q9BYJ9	YTHDF1 C20orf21	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000303|PubMed:26046440}.
Q93097	WNT2B WNT13	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}.
Q2YD98	UVSSA KIAA1530	SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:22466611, ECO:0000269|PubMed:22466612}. Note=Accumulates at UV DNA damage sites. {ECO:0000269|PubMed:22466611}.
Q96PN8	TSSK3 SPOGA3 STK22C	
Q96KV7	WDR90 C16orf15 C16orf16 C16orf17 C16orf18 C16orf19 KIAA1924	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:28781053}.
Q8N2C9	UMODL1-AS1 C21orf128	
Q5VTQ0	TTC39B C9orf52	
Q86TZ1	TTC6 C14orf25 NCRNA00291	
Q8TAA9	VANGL1 STB2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q8NEZ2	VPS37A HCRP1	SUBCELLULAR LOCATION: Late endosome membrane; Peripheral membrane protein. Nucleus.
Q9NNX9	VCX3A VCX3 VCX8R VCXA	
P63119	ERVK-21	
A8MU76		
O75528	TADA3 ADA3 TADA3L	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11564863, ECO:0000269|PubMed:9674425}.
P04271	S100B	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9925766}. Nucleus {ECO:0000269|PubMed:9925766}.
Q06330	RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Mainly nuclear, upon interaction with RITA/C12orf52, translocates to the cytoplasm, down-regulating the Notch signaling pathway.
A0A0A0MTA4	TRBJ2-5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A0J9YXG5	TRBJ1-4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
Q86UE8	TLK2	SUBCELLULAR LOCATION: Nucleus. Cytoplasm, perinuclear region. Cytoplasm, cytoskeleton. Note=Colocalizes with the cytoplasmic intermediate filament system during the G1 phase of the cell cycle. Present in the perinuclear region at S phase and in the nucleus at late G2.
A0A1W2PR48	TLE7	
Q9BVK8	TMEM147	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:20538592}; Multi-pass membrane protein {ECO:0000269|PubMed:20538592}.
Q6ZMR5	TMPRSS11A ECRG1 HATL1 HESP	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q86WV5	TEN1 C17orf106	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19854130}. Chromosome, telomere {ECO:0000269|PubMed:19854130}.
Q9NX00	TMEM160	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
A6NCI4	VWA3A	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q8TCY9	URGCP KIAA1507 URG4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12082552, ECO:0000269|PubMed:17217616}. Nucleus {ECO:0000269|PubMed:12082552, ECO:0000269|PubMed:17217616}. Note=In epithelial cells localized predominantly in the cytoplasm and occasionally in nuclei.
Q5VV11		
Q9Y334	VWA7 C6orf27 G7C NG37	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q8N8F6	YIPF7 FINGER9 YIP1B	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9JIM5}; Multi-pass membrane protein. Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:27999994}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:27999994}. Note=Evenly distributed between cis- and trans-Golgi apparatus. {ECO:0000269|PubMed:27999994}.
Q96MT0		
Q9BTM9	URM1 C9orf74	SUBCELLULAR LOCATION: Cytoplasm.
Q9H0D6	XRN2	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.
Q8N6Y0	USHBP1 AIEBP MCC2	
A0A087WT03	TRAV26-1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
A0A075B6N2	TRBV20-1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
Q9BTA9	WAC KIAA1844	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000250|UniProtKB:Q924H7}. Nucleus {ECO:0000269|PubMed:21329877}. Note=In distinct nuclear speckles. Colocalizes with pre-mRNA processing complexes. {ECO:0000250|UniProtKB:Q924H7}.
Q7Z5K2	WAPL FOE KIAA0261 WAPAL	SUBCELLULAR LOCATION: [Isoform 2]: Nucleus.; SUBCELLULAR LOCATION: Nucleus. Chromosome. Cytoplasm. Note=Associates with chromatin through the cohesin complex during interphase. Released in the cytoplasm from nuclear envelope breakdown until anaphase, it reaccumulates in nucleus at telophase.
Q3SY52	ZIK1 ZNF762	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q15661	TPSAB1 TPS1 TPS2 TPSB1	SUBCELLULAR LOCATION: Secreted. Note=Released from the secretory granules upon mast cell activation. {ECO:0000250}.
Q9P2D8	UNC79 KIAA1409	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8TF45	ZNF418 KIAA1956	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q7Z7K2	ZNF467	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q02386	ZNF45 KOX5 ZNF13	SUBCELLULAR LOCATION: Nucleus.
Q6ZMY9	ZNF517	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8NB15	ZNF511	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8NG11	TSPAN14 TM4SF14	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26686862}; Multi-pass membrane protein {ECO:0000305}.
Q969S3	ZNF622 ZPR9	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11802789}. Nucleus {ECO:0000269|PubMed:11802789}.
Q6DKK2	TTC19	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:21278747}.
Q6NSZ9	ZSCAN25 ZNF498	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
P33763	S100A5 S100D	
P56279	TCL1A TCL1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Microsome {ECO:0000269|PubMed:7987816}. Endoplasmic reticulum {ECO:0000269|PubMed:7987816}. Note=Microsomal fraction.
Q13569	TDG	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8662714}.
Q92738	USP6NL KIAA0019	SUBCELLULAR LOCATION: Golgi apparatus. Cytoplasmic vesicle.
O00295	TULP2 TUBL2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Secreted {ECO:0000250}. Note=Does not have a cleavable signal peptide and is secreted by a non-conventional pathway. {ECO:0000250}.
Q96ET8	TVP23C FAM18B2 Nbla10383	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
A0A0B4J266	TRAV41	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
Q0P140	HSD52	
Q9BXU2	TEX13B	
Q96RU2	USP28 KIAA1515	SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:17558397}.
P43403	ZAP70 SRK	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9813084}. Cell membrane {ECO:0000269|PubMed:9813084}; Peripheral membrane protein {ECO:0000269|PubMed:9813084}. Note=In quiescent T-lymphocytes, it is cytoplasmic. Upon TCR activation, it is recruited at the plasma membrane by interacting with CD247/CD3Z. Colocalizes together with RHOH in the immunological synapse. RHOH is required for its proper localization to the cell membrane and cytoskeleton fractions in the thymocytes (By similarity). {ECO:0000250}.
Q5HYM0	ZC3H12B CXorf32 MCPIP2	
O95365	ZBTB7A FBI1 LRF ZBTB7 ZNF857A	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17595526, ECO:0000269|PubMed:24514149}. Note=Recruited to double-strand break sites of damaged DNA. {ECO:0000250|UniProtKB:O88939}.
A1YPR0	ZBTB7C APM1 ZBTB36 ZNF857C	
Q86VM9	ZC3H18 NHN1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q6ZST2	ZCCHC23	
Q8WYQ9	ZCCHC14 KIAA0579	
Q96MV8	ZDHHC15 UNQ1969/PRO4501	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:F1QXD3}; Multi-pass membrane protein {ECO:0000250|UniProtKB:F1QXD3}.
Q9NUE0	ZDHHC18	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
O75310	UGT2B11	SUBCELLULAR LOCATION: Microsome membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Endoplasmic reticulum membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P15822	HIVEP1 ZNF40	SUBCELLULAR LOCATION: [Isoform 1]: Nucleus.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Nucleus.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|Ref.2}. Nucleus {ECO:0000269|Ref.2}.
Q86UP3	ZFHX4	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96NJ6	ZFP3 ZNF752	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96KR1	ZFR	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}. Cytoplasmic granule {ECO:0000250}. Chromosome {ECO:0000250}. Note=Associated with chromosome foci in meiotic cells. Localizes in somatodendritic compartment of primary hippocampal neurons. Colocalizes with STAU2 in several cytosolic RNA granules (By similarity). {ECO:0000250}.
Q9UDW3	ZMAT5	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15146077}.
Q5JSH3	WDR44	SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cytoplasm, perinuclear region. Endosome membrane. Golgi apparatus, trans-Golgi network. Note=Colocalized with RAB11 along microtubules oriented toward lamellipodia. {ECO:0000250}.
Q03924	ZNF117	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9H2Y7	ZNF106 SH3BP3 ZFP106 ZNF474	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:O88466}. Nucleus speckle {ECO:0000250|UniProtKB:O88466}. Note=Colocalizes with RBM39 in nuclear speckles. Inhibition of RNA synthesis, or overexpression of KNOP1, induces translocation from nuclear speckles to the nucleolus. {ECO:0000250|UniProtKB:O88466}.
Q562E7	WDR81	SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000269|PubMed:26783301, ECO:0000269|PubMed:27126989}; Peripheral membrane protein {ECO:0000269|PubMed:26783301, ECO:0000269|PubMed:27126989}. Late endosome membrane {ECO:0000269|PubMed:26783301, ECO:0000269|PubMed:27126989, ECO:0000269|PubMed:28404643}. Lysosome membrane {ECO:0000269|PubMed:27126989}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:28404643}. Mitochondrion {ECO:0000269|PubMed:28404643}. Cytoplasm, cytosol {ECO:0000269|PubMed:27126989}.
P51786	ZNF157	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9UJW7	ZNF229	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
O75346	ZNF253 BMZF1 ZNF411	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9UDV6	ZNF212 ZNFC150	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9NRM2	ZNF277 NRIF4 ZNF277P	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96B54	ZNF428 C19orf37	
Q8NEX5	WFDC9 WAP9	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q6ZT77	ZNF826P ZNF826	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9BWM5	ZNF416	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q92618	ZNF516 KIAA0222	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q7TSH3}.
Q8WUA8	TSKU E2IG4 LRRC54 TSK UNQ850/PRO1788	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q05481	ZNF91	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23665872}.
Q8TB69	ZNF519	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96K75	ZNF514	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9H1Z9	TSPAN10 OCSP	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9H707	ZNF552	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q68EA5	ZNF57 ZNF424	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q6ZN08	ZNF66 ZNF66P	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96ND8	ZNF583	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q15361	TTF1	SUBCELLULAR LOCATION: Nucleus. Nucleus, nucleolus {ECO:0000250}.
Q8NEG5	ZSWIM2 ZZZ2	
Q9NY84	VNN3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}. Note=According to PubMed:11491533, secreted. {ECO:0000250}.
Q9BTX7	TTPAL C20orf121	
Q7Z5H5	VN1R4 V1RL4	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q6ZVL8		
A8MWP6		
Q6UWI4	SHISA2 C13orf13 TMEM46 UNQ9166/PRO28631	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
A0A0B4J200	TRBJ2-3 hCG_2039521	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
Q05086	UBE3A E6AP EPVE6AP HPVE6A	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O08759}. Nucleus {ECO:0000250|UniProtKB:O08759}.
Q92536	SLC7A6 KIAA0245	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:15756301, ECO:0000269|PubMed:16785209}; Multi-pass membrane protein {ECO:0000269|PubMed:15756301, ECO:0000269|PubMed:16785209}.
A0A075B6X5	TRAV18	SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.
P0CH99	ZNF705D	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q6ZSB9	ZBTB49 ZNF509	SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:25245946}. Nucleus {ECO:0000269|PubMed:25245946}. Note=Predominantly located in the nucleus. {ECO:0000269|PubMed:25245946}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:25245946}. Nucleus {ECO:0000269|PubMed:25245946}.
O75152	ZC3H11A KIAA0663 ZC3HDC11A	
P19971	TYMP ECGF1	
Q6ZSN1		
Q96BR9	ZBTB8A BOZF1	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P47985	UQCRFS1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q5ZLR5}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q5ZLR5}.
P0CG32	ZCCHC18	
O60656	UGT1A9 GNT1 UGT1	SUBCELLULAR LOCATION: Microsome. Endoplasmic reticulum membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q70EL1	USP54 C10orf29	
Q9H8X9	ZDHHC11 ZNF399	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9C0B5	ZDHHC5 KIAA1748 ZNF375	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q641Q2	WASHC2A FAM21A FAM21B	SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000269|PubMed:28892079}. Cell membrane {ECO:0000250|UniProtKB:Q9Y4E1}.
Q9C0A1	ZFHX2 KIAA1056 KIAA1762 ZNF409	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29253101}.
P15692	VEGFA VEGF	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11563986, ECO:0000269|PubMed:11731620, ECO:0000269|PubMed:15896327}. Note=VEGF121 is acidic and freely secreted. VEGF165 is more basic, has heparin-binding properties and, although a significant proportion remains cell-associated, most is freely secreted. VEGF189 is very basic, it is cell-associated after secretion and is bound avidly by heparin and the extracellular matrix, although it may be released as a soluble form by heparin, heparinase or plasmin.
Q9BZJ3	TPSD1	SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Note=Released from the secretory granules upon mast cell activation. {ECO:0000250}.
Q86VQ6	TXNRD3 TGR TRXR3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q99MD6}. Nucleus {ECO:0000250|UniProtKB:Q99MD6}. Microsome {ECO:0000250|UniProtKB:Q99MD6}. Endoplasmic reticulum {ECO:0000250}. Note=Detected in cytoplasm and nucleus in late spermatids. {ECO:0000250|UniProtKB:Q99MD6}.
Q5H9K5	ZMAT1 KIAA1789	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P52738	ZNF140	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
O95201	ZNF205 ZNF210	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8N8G2	VGLL2 VITO1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q5SRN2	TSBP1 C6orf10	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q6ZMS7	ZNF783	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P0CB33	ZNF735 ZNF735P	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q96SE7	ZNF347 ZNF1111	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q6S9Z5	ZNF474	
P17098	ZNF8	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9H4A3	WNK1 HSN2 KDP KIAA0344 PRKWNK1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10660600}.
Q7Z398	ZNF550	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9BSK1	ZNF577	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9H582	ZNF644 KIAA1221 ZEP2	SUBCELLULAR LOCATION: Nucleus.
Q8N720	ZNF655 VIK	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q5R3I4	TTC38	
Q96HJ5	MS4A3 CD20L HTM4	SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Note=Located in the perinuclear area.
Q9Y3B1	PRELID3B C20orf45 SLMO2 CGI-107	
P61574	HERVK_113	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}. Note=Shuttles between the nucleus and the cytoplasm. When in the nucleus, resides in the nucleolus (By similarity). {ECO:0000250}.
F8VTS6	RFPL4AL1	
Q6WKZ4	RAB11FIP1 RCP	SUBCELLULAR LOCATION: Recycling endosome {ECO:0000269|PubMed:11786538, ECO:0000269|PubMed:15181150, ECO:0000269|PubMed:15280022, ECO:0000269|PubMed:15355514, ECO:0000269|PubMed:16920206}. Note=Rab11A rather than Rab4A mediates localization in the endocytic recycling compartment (ERC).; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasmic vesicle, phagosome membrane. Note=Membrane-bound (isoform 2). Colocalizes with Rab11A at phagosomes (isoform 2).
Q07020	RPL18	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:25957688}. Cytoplasm {ECO:0000305|PubMed:23636399, ECO:0000305|PubMed:25901680}. Rough endoplasmic reticulum {ECO:0000250|UniProtKB:Q95342}. Note=Detected on cytosolic polysomes (PubMed:25957688). Detected in ribosomes that are associated with the rough endoplasmic reticulum (By similarity). {ECO:0000250|UniProtKB:Q95342, ECO:0000269|PubMed:25957688}.
O00287	RFXAP	SUBCELLULAR LOCATION: Nucleus.
Q8N431	RASGEF1C	
Q9BWE0	REPIN1 RIP60 ZNF464	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10606657}.
Q9UGC6	RGS17 RGSZ2	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q9QZB0}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:Q9QZB0}. Nucleus {ECO:0000250|UniProtKB:Q9QZB0}. Cytoplasm {ECO:0000250|UniProtKB:Q9QZB0}.
Q96IS3	RAX2 QRX RAXL1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.
O15539	RGS5	SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:15670159}. Membrane {ECO:0000269|PubMed:15670159}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:15670159}.
Q2M5E4	RGS21	
Q9H974	QTRT2 QTRTD1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03043}. Mitochondrion outer membrane {ECO:0000255|HAMAP-Rule:MF_03043}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03043}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_03043}. Note=May associate with the mitochondrion outer membrane. {ECO:0000255|HAMAP-Rule:MF_03043}.
P50120	RBP2 CRBP2	SUBCELLULAR LOCATION: Cytoplasm.
